first_name,last_name,company_name,address,city,county,state,zip,phone1,email,SocialMedia,SocialMediaHandles
Tawna,Bolognia,"Stevens, Charles T",,Laredo,Webb,TX,78045,,TawnaBolognia150@yahoo.com,,
Leota,Rhymes,,,,,,,,,,
Malinda,Rulapaugh,,,,,,,856-264-4130,MalindaRulapaugh287@hotmail.com,,
Dyan,Oldroyd,International Eyelets Inc,7219 Woodfield Rd,Overland Park,Johnson,KS,66204,913-413-4604,doldroyd@aol.com,Twitter,doldroyd
Allene,Glick,,,,,,,925-522-7798,AlleneGlick149@hotmail.com,,
Johnetta,Butt,East Coast Marketing,,San Jose,Santa Clara,CA,95111,410-235-8738,JohnettaButt205@aol.com,,
Tawna,Buvens,H H H Enterprises Inc,3305 Nabell Ave #679,New York,New York,NY,10009,212-674-9610,tawna@gmail.com,Twitter,tawna
Stephaine,,Garrison Ind,,Las Cruces,Dona Ana,NM,88011,,,,
Lettie,Slusarski,,,,,,,956-841-7216,LettieSlusarski104@yahoo.com,,
Donette,Mondella,Milford Enterprises Inc,,Middle Island,Suffolk,NY,11953,,,,
Gladys,Rim,T M Byxbee Company Pc,322 New Horizon Blvd,Milwaukee,Milwaukee,WI,53207,414-661-9598,gladys.rim@rim.org,Facebook,Gladys Rim
Kanisha,Waycott,"Schroer, Gene E Esq",5 Tomahawk Dr,Los Angeles,Los Angeles,CA,90006,323-453-2780,kanisha_waycott@yahoo.com,Instagram,kanisha_waycott
Penney,,,,,,,,201-387-9093,Penney352@gmail.com,,
Lettie,Isenhower,"Conte, Christopher A Esq",70 W Main St,Beachwood,Cuyahoga,OH,44122,216-657-7668,lettie_isenhower@yahoo.com,Facebook,Lettie Isenhower
Blondell,Pugh,Alpenlite Inc,201 Hawk Ct,Providence,Providence,RI,2904,401-960-8259,bpugh@aol.com,Instagram,bpugh
Brock,Bolognia,Orinda News,4486 W O St #1,New York,New York,NY,10003,212-402-9216,bbolognia@yahoo.com,Instagram,bbolognia
Jamal,Vanausdal,"Hubbard, Bruce Esq",53075 Sw 152nd Ter #615,Monroe Township,Middlesex,NJ,8831,732-234-1546,jamal@vanausdal.org,Instagram,jamal
Bernardo,Venere,Orinda News,,Middle Island,Suffolk,NY,11953,208-737-8439,,,
Lavera,Perin,Abc Enterprises Inc,678 3rd Ave,Miami,Miami-Dade,FL,33196,305-606-7291,lperin@perin.org,Twitter,lperin
Brock,,Eder Assocs Consltng Engrs Pc,,Shawnee,Johnson,KS,66218,608-658-7940,Brock312@yahoo.com,,
Karl,Klonowski,"Rossi, Michael M",76 Brooks St #9,Flemington,Hunterdon,NJ,8822,908-877-6135,karl_klonowski@yahoo.com,Twitter,karl_klonowski
Moon,Parlato,"Ambelang, Jessica M Md",74989 Brandon St,Wellsville,Allegany,NY,14895,585-866-8313,moon@yahoo.com,Instagram,moon
Roxane,Campain,Rapid Trading Intl,1048 Main St,Fairbanks,Fairbanks North Star,AK,99708,907-231-4722,roxane@hotmail.com,Instagram,roxane
Cecily,Hollack,Arthur A Oliver & Son Inc,59 N Groesbeck Hwy,Austin,Travis,TX,78731,512-486-3817,cecily@hollack.org,Twitter,cecily
Cammy,Foller,"Mosocco, Ronald A",,New Orleans,Orleans,LA,70116,216-733-8494,CammyFoller267@gmail.com,,
Albina,Glick,"Giampetro, Anthony D",4 Ralph Ct,Dunellen,Middlesex,NJ,8812,732-924-7882,albina@glick.com,Instagram,albina
Sage,Wieser,Truhlar And Truhlar Attys,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,57105,605-414-2147,sage_wieser@cox.net,Twitter,sage_wieser
Willard,Kolmetz,"Ingalls, Donald R Esq",618 W Yakima Ave,Irving,Dallas,TX,75062,972-303-9197,willard@hotmail.com,Twitter,willard
Viva,Toelkes,Mark Iv Press Ltd,4284 Dorigo Ln,Chicago,Cook,IL,60647,773-446-5569,viva.toelkes@gmail.com,Facebook,Viva Toelkes
Tyra,Shields,"Assink, Anne H Esq",3 Fort Worth Ave,Philadelphia,Philadelphia,PA,19106,215-255-1641,tshields@gmail.com,Facebook,Tyra Shields
Yuki,Whobrey,Farmers Insurance Group,1 State Route 27,Taylor,Wayne,MI,48180,313-288-7937,yuki_whobrey@aol.com,Instagram,yuki_whobrey
Fletcher,Flosi,Post Box Services Plus,394 Manchester Blvd,Rockford,Winnebago,IL,61109,815-828-2147,fletcher.flosi@yahoo.com,Instagram,fletcher.flosi
Amber,Monarrez,Branford Wire & Mfg Co,14288 Foster Ave #4121,Jenkintown,Montgomery,PA,19046,215-934-8655,amber_monarrez@monarrez.org,Instagram,amber_monarrez
Myra,,Hawaiian King Hotel,,Anchorage,Anchorage,AK,99501,,Myra276@gmail.com,,
Fatima,Saylors,"Stanton, James D Esq",2 Lighthouse Ave,Hopkins,Hennepin,MN,55343,952-768-2416,fsaylors@saylors.org,Twitter,fsaylors
Laurel,Reitler,Q A Service,6 Kains Ave,Baltimore,Baltimore City,MD,21215,410-520-4832,laurel_reitler@reitler.com,Twitter,laurel_reitler
Elly,,Morlong Associates,,Chicago,Cook,IL,60632,,Elly244@gmail.com,,
Ernie,,"Clark, Richard Cpa",,Laredo,Webb,TX,78045,907-873-2882,Ernie207@hotmail.com,,
Willow,Morasca,Mark Iv Press Ltd,,Chicago,Cook,IL,60632,,WillowMorasca262@gmail.com,,
Tamar,Bowley,,,,,,,732-635-3453,TamarBowley206@gmail.com,,
Delmy,Ahle,Wye Technologies Inc,65895 S 16th St,Providence,Providence,RI,2909,401-458-2547,delmy.ahle@hotmail.com,Facebook,Delmy Ahle
Fatima,Barfield,Wye Technologies Inc,,Providence,Providence,RI,2909,,FatimaBarfield217@aol.com,,
Dyan,,Fbs Business Finance,,Laredo,Webb,TX,78045,818-749-8650,Dyan160@gmail.com,,
Timothy,Mulqueen,Saronix Nymph Products,44 W 4th St,Staten Island,Richmond,NY,10309,718-332-6527,timothy_mulqueen@mulqueen.org,Facebook,Timothy Mulqueen
Kanisha,Kusko,"Conte, Christopher A Esq",,Hamilton,Butler,OH,45011,,,,
Sabra,Uyetake,Lowy Limousine Service,98839 Hawthorne Blvd #6101,Columbia,Richland,SC,29201,803-925-5213,sabra@uyetake.org,Twitter,sabra
Tonette,Wenner,Northwest Publishing,4545 Courthouse Rd,Westbury,Nassau,NY,11590,516-968-6051,twenner@aol.com,Facebook,Tonette Wenner
Donette,Foller,Printing Dimensions,34 Center St,Hamilton,Butler,OH,45011,513-570-1893,donette.foller@cox.net,Instagram,donette.foller
Lisha,Centini,Industrial Paper Shredders Inc,64 5th Ave #1153,Mc Lean,Fairfax,VA,22102,703-235-3937,lisha@centini.org,Facebook,Lisha Centini
Lai,Monarrez,,,,,,,,LaiMonarrez255@yahoo.com,,
Timothy,Tollner,Rowley Schlimgen Inc,,San Jose,Santa Clara,CA,95111,,TimothyTollner339@aol.com,,
Abel,Amigon,Springfield Div Oh Edison Co,,San Jose,Santa Clara,CA,95111,,AbelAmigon387@hotmail.com,,
Shenika,,"Moskowitz, Barry S",,Hamilton,Butler,OH,45011,913-645-8918,Shenika324@yahoo.com,,
Mitsue,Paprocki,"Chanay, Jeffrey A Esq",,Brighton,Livingston,MI,48116,254-205-1422,,,
Arlette,Honeywell,Smc Inc,11279 Loytan St,Jacksonville,Duval,FL,32254,904-775-4480,ahoneywell@honeywell.com,Twitter,ahoneywell
Tammara,Wardrip,Jewel My Shop Inc,4800 Black Horse Pike,Burlingame,San Mateo,CA,94010,650-803-1936,twardrip@cox.net,Facebook,Tammara Wardrip
Jose,Vocelka,,,,,,,512-861-3814,,,
Carma,,C 4 Network Inc,,San Jose,Santa Clara,CA,95111,907-921-2010,Carma312@aol.com,,
Simona,Bruschke,,,,,,,,SimonaBruschke209@hotmail.com,,
Francine,Vocelka,Cascade Realty Advisors Inc,366 South Dr,Las Cruces,Dona Ana,NM,88011,505-977-3911,francine_vocelka@vocelka.com,Instagram,francine_vocelka
Kallie,Blackwood,Rowley Schlimgen Inc,701 S Harrison Rd,San Francisco,San Francisco,CA,94104,415-315-2761,kallie.blackwood@gmail.com,Twitter,kallie.blackwood
Alisha,Slusarski,Wtlz Power 107 Fm,3273 State St,Middlesex,Middlesex,NJ,8846,732-658-3154,alisha@slusarski.com,Facebook,Alisha Slusarski
Ammie,Corrio,"Moskowitz, Barry S",74874 Atlantic Ave,Columbus,Franklin,OH,43215,614-801-9788,ammie@corrio.com,Instagram,ammie
Deeanna,,Farmers Insurance Group,,Brighton,Livingston,MI,48116,,Deeanna102@aol.com,,
Dominque,,Knights Inn,,Milwaukee,Milwaukee,WI,53207,,Dominque380@hotmail.com,,
Kati,Rulapaugh,Eder Assocs Consltng Engrs Pc,6980 Dorsett Rd,Abilene,Dickinson,KS,67410,785-463-7829,kati.rulapaugh@hotmail.com,Instagram,kati.rulapaugh
Carmelina,,,,,,,,504-265-8174,Carmelina298@gmail.com,,
Ezekiel,Chui,"Sider, Donald C Esq",2 Cedar Ave #84,Easton,Talbot,MD,21601,410-669-1642,ezekiel@chui.com,Instagram,ezekiel
Meaghan,Garufi,"Bolton, Wilbur Esq",69734 E Carrillo St,Mc Minnville,Warren,TN,37110,931-313-9635,meaghan@hotmail.com,Instagram,meaghan
Ilene,,,,,,,,,Ilene292@hotmail.com,,
Danica,Flosi,Jewel My Shop Inc,,San Jose,Santa Clara,CA,95111,,,,
Shenika,Seewald,East Coast Marketing,4 Otis St,Van Nuys,Los Angeles,CA,91405,818-423-4007,shenika@gmail.com,Instagram,shenika
Karl,Corrio,Tri M Tool Inc,,Prineville,Crook,OR,97754,907-227-6777,,,
Alisha,Nicka,Cascade Realty Advisors Inc,,Las Cruces,Dona Ana,NM,88011,,AlishaNicka184@aol.com,,
Lenna,Paprocki,Feltz Printing Service,639 Main St,Anchorage,Anchorage,AK,99501,907-385-4412,lpaprocki@hotmail.com,Facebook,Lenna Paprocki
Bette,Nicka,Sport En Art,6 S 33rd St,Aston,Delaware,PA,19014,610-545-3615,bette_nicka@cox.net,Instagram,bette_nicka
Maurine,Fern,Feiner Bros,,San Jose,Santa Clara,CA,95111,212-753-2740,MaurineFern152@gmail.com,,
Arlette,,Century Communications,,Phoenix,Maricopa,AZ,85013,,Arlette160@gmail.com,,
Rozella,Ruta,Arthur A Oliver & Son Inc,,Laredo,Webb,TX,78045,732-904-2931,RozellaRuta178@gmail.com,,
Marjory,Yglesias,Forging Specialties,,Chapel Hill,Orange,NC,27514,952-479-2375,MarjoryYglesias174@yahoo.com,,
Veronika,Inouye,C 4 Network Inc,6 Greenleaf Ave,San Jose,Santa Clara,CA,95111,408-540-1785,vinouye@aol.com,Instagram,vinouye
Willow,Kusko,U Pull It,90991 Thorburn Ave,New York,New York,NY,10011,212-582-4976,wkusko@yahoo.com,Facebook,Willow Kusko
Lorrie,Nestle,Ballard Spahr Andrews,39 S 7th St,Tullahoma,Coffee,TN,37388,931-875-6644,lnestle@hotmail.com,Facebook,Lorrie Nestle
Stephaine,Barfield,Beutelschies & Company,47154 Whipple Ave Nw,Gardena,Los Angeles,CA,90247,310-774-7643,stephaine@barfield.com,Facebook,Stephaine Barfield
Delmy,Darakjy,Lowy Limousine Service,,Columbia,Richland,SC,29201,541-993-2611,DelmyDarakjy144@aol.com,,
Alishia,Sergi,Milford Enterprises Inc,2742 Distribution Way,New York,New York,NY,10025,212-860-1579,asergi@gmail.com,Twitter,asergi
Youlanda,Schemmer,Tri M Tool Inc,2881 Lewis Rd,Prineville,Crook,OR,97754,541-548-8197,youlanda@aol.com,Facebook,Youlanda Schemmer
Jose,Stockham,Tri State Refueler Co,128 Bransten Rd,New York,New York,NY,10011,212-675-8570,jose@yahoo.com,Facebook,Jose Stockham
Tonette,Rhym,,,,,,,305-995-2078,TonetteRhym146@aol.com,,
Lai,Gato,"Fligg, Kenneth I Jr",37 Alabama Ave,Evanston,Cook,IL,60201,847-728-7286,lai.gato@gato.org,Instagram,lai.gato
Veronika,Rim,,,,,,,973-847-9611,VeronikaRim277@aol.com,,
Myra,Munns,Anker Law Office,461 Prospect Pl #316,Euless,Tarrant,TX,76040,817-914-7518,mmunns@cox.net,Twitter,mmunns
Allene,Iturbide,"Ledecky, David Esq",1 Central Ave,Stevens Point,Portage,WI,54481,715-662-6764,allene_iturbide@cox.net,Instagram,allene_iturbide
Vallie,Mondella,Private Properties,74 W College St,Boise,Ada,ID,83707,208-862-5339,vmondella@mondella.com,Facebook,Vallie Mondella
Kiley,Caldarera,Feiner Bros,25 E 75th St #69,Los Angeles,Los Angeles,CA,90034,310-498-5651,kiley.caldarera@aol.com,Instagram,kiley.caldarera
Micaela,Caldarera,Professional Image Inc,,Shawnee,Johnson,KS,66218,715-530-9863,,,
Ilene,Eroman,"Robinson, William J Esq",2853 S Central Expy,Glen Burnie,Anne Arundel,MD,21061,410-914-9018,ilene.eroman@hotmail.com,Twitter,ilene.eroman
Elza,Lipke,Museum Of Science & Industry,6794 Lake Dr E,Newark,Essex,NJ,7104,973-927-3447,elza@yahoo.com,Instagram,elza
Wilda,,,,,,,,,Wilda129@gmail.com,,
Lorrie,Royster,U Pull It,,Middle Island,Suffolk,NY,11953,323-315-7314,LorrieRoyster206@hotmail.com,,
Fletcher,Saylors,,,,,,,973-796-3667,FletcherSaylors246@gmail.com,,
Emerson,Bowley,Knights Inn,762 S Main St,Madison,Dane,WI,53711,608-336-7444,emerson.bowley@bowley.org,Instagram,emerson.bowley
Mattie,Poquette,Century Communications,73 State Road 434 E,Phoenix,Maricopa,AZ,85013,602-277-4385,mattie@aol.com,Facebook,Mattie Poquette
Roxane,,"Giampetro, Anthony D",,Bridgeport,Gloucester,NJ,8014,,,,
Simona,Morasca,"Chapman, Ross E Esq",3 Mcauley Dr,Ashland,Ashland,OH,44805,419-503-2484,simona@morasca.com,Twitter,simona
Stephen,Emigh,"Sharp, J Daniel Esq",3777 E Richmond St #900,Akron,Summit,OH,44302,330-537-5358,stephen_emigh@hotmail.com,Instagram,stephen_emigh
Lavera,Stenseth,"Mclaughlin, Luther W Cpa",,Anchorage,Anchorage,AK,99501,516-333-4861,LaveraStenseth184@hotmail.com,,
Cammy,Albares,"Rousseaux, Michael Esq",56 E Morehead St,Laredo,Webb,TX,78045,956-537-6195,calbares@gmail.com,Twitter,calbares
Tamar,Hoogland,A K Construction Co,2737 Pistorio Rd #9230,London,Madison,OH,43140,740-343-8575,tamar@hotmail.com,Twitter,tamar
Sabra,,Printing Dimensions,,Hamilton,Butler,OH,45011,,Sabra232@hotmail.com,,
Penney,Weight,Hawaiian King Hotel,18 Fountain St,Anchorage,Anchorage,AK,99515,907-797-9628,penney_weight@aol.com,Instagram,penney_weight
Alishia,,"Chapman, Ross E Esq",,Hamilton,Butler,OH,45011,,Alishia329@hotmail.com,,
Valentine,Ostrosky,Northwest Publishing,,Middle Island,Suffolk,NY,11953,401-300-8122,ValentineOstrosky396@gmail.com,,
Ammie,Eroman,A K Construction Co,,Hamilton,Butler,OH,45011,410-937-4543,AmmieEroman116@gmail.com,,
Leota,Dilliard,Commercial Press,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,408-752-3500,leota@hotmail.com,Instagram,leota
Deeanna,Juhas,"Healy, George W Iv",14302 Pennsylvania Ave,Huntingdon Valley,Montgomery,PA,19006,215-211-9589,deeanna_juhas@gmail.com,Instagram,deeanna_juhas
Danica,Bruschke,"Stevens, Charles T",840 15th Ave,Waco,McLennan,TX,76708,254-782-8569,danica_bruschke@gmail.com,Instagram,danica_bruschke
Josephine,Vanausdal,,,,,,,,,,
Devorah,Chickering,Garrison Ind,31 Douglas Blvd #950,Clovis,Curry,NM,88101,505-975-8559,devorah@hotmail.com,Twitter,devorah
Sage,,"Rousseaux, Michael Esq",,Laredo,Webb,TX,78045,,Sage290@yahoo.com,,
Mitsue,Tollner,Morlong Associates,7 Eads St,Chicago,Cook,IL,60632,773-573-6914,mitsue_tollner@yahoo.com,Facebook,Mitsue Tollner
Blondell,Maclead,,,,,,,,BlondellMaclead398@hotmail.com,,
Kris,Marrier,"King, Christopher A Esq",228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,410-655-8723,kris@gmail.com,Facebook,Kris Marrier
Josephine,Darakjy,"Chanay, Jeffrey A Esq",4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,810-292-9388,josephine_darakjy@darakjy.org,Twitter,josephine_darakjy
Bobbye,,"Smits, Patricia Garity",,San Jose,Santa Clara,CA,95111,,Bobbye117@hotmail.com,,
Cory,Gibes,Chinese Translation Resources,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,91776,626-572-1096,cory.gibes@gmail.com,Instagram,cory.gibes
Natalie,Marrier,,,,,,,,NatalieMarrier308@aol.com,,
Art,Venere,"Chemel, James L Cpa",8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,8014,856-636-8749,art@venere.org,Instagram,art
Chanel,Caudy,Professional Image Inc,86 Nw 66th St #8673,Shawnee,Johnson,KS,66218,913-388-2079,chanel.caudy@caudy.org,Instagram,chanel.caudy
Malinda,Hochard,Logan Memorial Hospital,55 Riverside Ave,Indianapolis,Marion,IN,46202,317-722-5066,malinda.hochard@yahoo.com,Instagram,malinda.hochard
Delisa,Caudy,,,,,,,408-813-4592,DelisaCaudy155@yahoo.com,,
Laurel,,Grace Pastries Inc,,Middle Island,Suffolk,MA,2128,972-896-4882,Laurel357@aol.com,,
Gladys,Seewald,Rapid Trading Intl,,Anchorage,Anchorage,AK,99501,,GladysSeewald299@yahoo.com,,
Maryann,Royster,"Franklin, Peter L Esq",74 S Westgate St,Albany,Albany,NY,12204,518-966-7987,mroyster@royster.com,Instagram,mroyster
Solange,Shinko,"Mosocco, Ronald A",426 Wolf St,Metairie,Jefferson,LA,70002,504-979-9175,solange@shinko.com,Facebook,Solange Shinko
Lisha,,"Benton, John B Jr",,,,LA,70116,504-845-1427,,,
Albina,Buvens,Ballard Spahr Andrews,,Mc Minnville,Warren,TN,37110,,,,
Johnetta,Abdallah,Forging Specialties,1088 Pinehurst St,Chapel Hill,Orange,NC,27514,919-225-9345,johnetta_abdallah@aol.com,Twitter,johnetta_abdallah
Mattie,,"Ledecky, David Esq",,Milwaukee,Milwaukee,WI,53207,510-901-7640,Mattie300@yahoo.com,,
Lenna,,,,,,,,510-452-4835,Lenna298@gmail.com,,
Vallie,Chickering,"Franklin, Peter L Esq",,Middle Island,Suffolk,NY,11953,,VallieChickering283@gmail.com,,
Emerson,Schemmer,Knwz Newsradio,,Bridgeport,Gloucester,NJ,8014,212-617-5063,,,
Bobbye,Rhym,"Smits, Patricia Garity",30 W 80th St #1995,San Carlos,San Mateo,CA,94070,650-528-5783,brhym@rhym.com,Facebook,Bobbye Rhym
Elza,,H Lee Leonard Attorney At Law,,San Jose,Santa Clara,CA,95111,815-426-5657,Elza153@hotmail.com,,
Abel,Maclead,Rangoni Of Florence,37275 St  Rt 17m M,Middle Island,Suffolk,NY,11953,631-335-3414,amaclead@gmail.com,Facebook,Abel Maclead
Jamal,Malet,"Sharp, J Daniel Esq",,Hamilton,Butler,OH,45011,805-609-1531,JamalMalet103@aol.com,,
Francine,Abdallah,"Healy, George W Iv",,Kulpsville,Montgomery,PA,19443,,FrancineAbdallah345@aol.com,,
